u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,length,geometry,junction,tunnel
199803279,199803280,0,20632902,True,3,055-10,Boulevard 84,primary,60,149.516,"LINESTRING (-57.9204624 -34.91677, -57.919823 -34.9180082)",,
199803279,250914089,0,23199639,True,,,Calle 68,residential,40,97.605,"LINESTRING (-57.9204624 -34.91677, -57.9211829 -34.9174192)",,
199803280,199803281,0,20632902,True,3,055-10,Boulevard 84,primary,60,67.119,"LINESTRING (-57.919823 -34.9180082, -57.9196092 -34.9185858)",,
199803281,3182116839,0,20632902,True,3,055-10,Boulevard 84,primary,60,15.125,"LINESTRING (-57.9196092 -34.9185858, -57.9195756 -34.918719)",,
199803281,250914086,0,23200946,True,,,Calle 119,residential,40,57.23,"LINESTRING (-57.9196092 -34.9185858, -57.9200751 -34.9182409)",,
199803284,250914010,0,285554668,True,3,055-10,Boulevard 84,primary,60,38.035,"LINESTRING (-57.919381 -34.9205739, -57.9194048 -34.9209154)",,
199803284,250914013,0,23200948,True,,,,primary_link,40,79.245,"LINESTRING (-57.919381 -34.9205739, -57.9192905 -34.9206811, -57.9191654 -34.9207491, -57.9191138 -34.9207711, -57.9189332 -34.9207771, -57.9187969 -34.9207327, -57.9186843 -34.9206234)",,
199803285,250914103,0,23199635,True,,,Calle 117,residential,40,34.73,"LINESTRING (-57.9195704 -34.9219344, -57.9198526 -34.9217246)",,
199803285,199803286,0,283708222,True,3,055-10,Boulevard 84,primary,60,154.53,"LINESTRING (-57.9195704 -34.9219344, -57.9199922 -34.9231011, -57.920001 -34.9231229, -57.9200757 -34.9232597)",,
199803286,250914226,0,283708222,True,3,055-10,Boulevard 84,primary,60,143.929,"LINESTRING (-57.9200757 -34.9232597, -57.9204266 -34.9238054, -57.9208094 -34.9244058)",,
199804824,250913974,0,23200909,False,,,Calle 116,residential,40,44.785,"LINESTRING (-57.9191788 -34.9239132, -57.9195394 -34.9236397)",,
199804824,199804825,0,552150062,True,,,Avenida 72,tertiary,60,138.892,"LINESTRING (-57.9191788 -34.9239132, -57.9190943 -34.9238373, -57.9183393 -34.9231501, -57.9181627 -34.9229826)",,
199804825,250933083,0,23200910,True,,,Calle 117,residential,40,68.835,"LINESTRING (-57.9181627 -34.9229826, -57.9187357 -34.9225795)",,
199804825,199804826,0,552150062,True,,,Avenida 72,tertiary,60,135.657,"LINESTRING (-57.9181627 -34.9229826, -57.9172741 -34.9221168, -57.9172043 -34.9220494)",,
199804826,199804827,0,552150062,True,,,Avenida 72,tertiary,60,140.99,"LINESTRING (-57.9172043 -34.9220494, -57.9164027 -34.9209651)",,
199804827,250933081,0,552150060,True,,,Calle 119,residential,40,34.733,"LINESTRING (-57.9164027 -34.9209651, -57.9166868 -34.920757)",,
199804827,199804829,0,552150062,True,,,Avenida 72,tertiary,60,92.94200000000001,"LINESTRING (-57.9164027 -34.9209651, -57.916272 -34.9208014, -57.916223 -34.9207612, -57.9155442 -34.9205865)",,
199804829,3727360472,0,552150062,True,,,Avenida 72,tertiary,60,38.713,"LINESTRING (-57.9155442 -34.9205865, -57.9153338 -34.9204121, -57.9152485 -34.9203367)",,
199807867,253617581,0,23426492,False,2,,Avenida 25,tertiary,60,142.509,"LINESTRING (-57.9464231 -34.9478729, -57.9475838 -34.9470142)",,
199807867,251033581,0,283288173,True,2,055-10,Avenida 72,primary,60,75.816,"LINESTRING (-57.9464231 -34.9478729, -57.9465417 -34.9479784, -57.9469868 -34.9483743)",,
199807869,253617578,0,23409347,True,,,Calle 24,residential,40,143.851,"LINESTRING (-57.9453405 -34.9469077, -57.9465121 -34.9460409)",,
199807869,251033949,0,283288170,True,3,055-10,Avenida 72,primary,60,36.96,"LINESTRING (-57.9453405 -34.9469077, -57.9454234 -34.9469836, -57.945614 -34.9471531)",,
199807871,2654551549,0,23376135,True,,,Calle 23,residential,40,38.544,"LINESTRING (-57.9443412 -34.9459748, -57.944649 -34.9457371)",,
199807871,199807869,0,283288170,True,3,055-10,Avenida 72,primary,60,138.045,"LINESTRING (-57.9443412 -34.9459748, -57.9453405 -34.9469077)",,
199807873,253719375,0,283288171,True,3,055-10,Avenida 72,primary,60,330.62000000000006,"LINESTRING (-57.9410925 -34.9430375, -57.9419991 -34.943866, -57.9430656 -34.9448406, -57.9433512 -34.9451017, -57.9434563 -34.9451977, -57.9435145 -34.9452509)",,
199807874,199807873,0,283889429,True,3,055-10,Avenida 72,primary,60,42.703,"LINESTRING (-57.9407797 -34.9427516, -57.9410925 -34.9430375)",,
199807874,251033604,0,23208079,True,,,,primary_link,40,77.03,"LINESTRING (-57.9407797 -34.9427516, -57.9407802 -34.9429318, -57.9407344 -34.9430346, -57.9407049 -34.9430642, -57.9405894 -34.9431212, -57.9404482 -34.9431445, -57.9402853 -34.9431171)",,
199807876,2719409514,0,283817574,True,3,055-10,Avenida 72,primary,60,65.228,"LINESTRING (-57.9397301 -34.9417923, -57.9401183 -34.9421472, -57.9402079 -34.942229)",,
199807880,199807876,0,283817574,True,3,055-10,Avenida 72,primary,60,40.591,"LINESTRING (-57.9394327 -34.9415206, -57.9397301 -34.9417923)",,
199807880,251033596,0,23208077,True,,,,primary_link,40,68.687,"LINESTRING (-57.9394327 -34.9415206, -57.939423 -34.9416234, -57.939378 -34.9416904, -57.9392788 -34.9417715, -57.939131 -34.9418686, -57.9390359 -34.9418914, -57.9389304 -34.9418842)",,
199807881,199807880,0,283817574,True,3,055-10,Avenida 72,primary,60,506.043,"LINESTRING (-57.9357258 -34.9381328, -57.9361251 -34.9384977, -57.9362161 -34.9385809, -57.9372364 -34.9395133, -57.9376611 -34.9399014, -57.9378719 -34.9400941, -57.9381205 -34.9403214, -57.9382388 -34.9404295, -57.9391981 -34.9413062, -57.9394327 -34.9415206)",,
199807882,199807881,0,283817574,True,3,055-10,Avenida 72,primary,60,40.793,"LINESTRING (-57.935427 -34.9378597, -57.9357258 -34.9381328)",,
