y,x,street_count,highway,geometry
-34.9145036,-57.9615487,4,,POINT (-57.9615487 -34.9145036)
-34.9154169,-57.9625534,4,traffic_signals,POINT (-57.9625534 -34.9154169)
-34.9154905,-57.9626344,4,traffic_signals,POINT (-57.9626344 -34.9154905)
-34.9158652,-57.9621279,3,traffic_signals,POINT (-57.9621279 -34.9158652)
-34.9167813,-57.9620562,3,,POINT (-57.9620562 -34.9167813)
-34.9172223,-57.9625414,4,traffic_signals,POINT (-57.9625414 -34.9172223)
-34.9173039,-57.962431,4,traffic_signals,POINT (-57.962431 -34.9173039)
-34.9181689,-57.9613483,4,,POINT (-57.9613483 -34.9181689)
-34.9189434,-57.9602567,4,,POINT (-57.9602567 -34.9189434)
-34.9196219,-57.9593247,4,,POINT (-57.9593247 -34.9196219)
